Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0,-0.015869503,,
0.02,-0.01587886,,
0.04,-0.015868276,,
0.06,-0.015858612,,
0.08,-0.015817655,,
0.1,-0.015859379,,
0.12,-0.015868889,,
0.14,-0.015813513,,
0.16,-0.015823331,,
0.18,-0.015840204,,
0.2,-0.01586214,,
0.22,-0.015839437,,
0.24,-0.015859992,,
0.26,-0.015883155,,
0.28,-0.015884075,,
0.3,-0.015893432,,
0.32,-0.015891438,,
0.34,-0.015881161,,
0.36,-0.015864594,,
0.38,-0.015880701,,
0.4,-0.015852936,,
0.42,-0.015849101,,
0.44,-0.015830694,,
0.46,-0.015844653,,
0.48,-0.015827166,,
0.5,-0.015848641,,
0.52,-0.015841585,,
0.54,-0.015846493,,
0.56,-0.015869043,,
0.58,-0.015868122,,
0.6,-0.01588024,,
0.62,-0.015877479,,
0.64,-0.015888677,,
0.66,-0.015862447,,
0.68,-0.015871343,,
0.7,-0.015881007,,
0.72,-0.015861526,,
0.74,-0.015837596,,
0.76,-0.015836983,,
0.78,-0.015853856,,
0.8,-0.015832995,,
0.82,-0.015853243,,
0.84,-0.015848948,,
0.86,-0.015854777,,
0.88,-0.015851402,,
0.9,-0.015861219,,
0.92,-0.01586168,,
0.94,-0.015854777,,
0.96,-0.015866435,,
0.98,-0.015882541,,
1,-0.015880087,,
1.02,-0.015865821,,
1.04,-0.015868582,,
1.06,-0.015871497,,
1.08,-0.015868429,,
1.1,-0.015888064,,
1.12,-0.015867355,,
1.14,-0.01583729,,
1.16,-0.015846954,,
1.18,-0.015847721,,
1.2,-0.015843119,,
1.22,-0.015828393,,
1.24,-0.015818422,,
1.26,-0.015840664,,
1.28,-0.015852783,,
1.3,-0.015863674,,
1.32,-0.015847567,,
1.34,-0.015865208,,
1.36,-0.015898188,,
1.38,-0.01588837,,
1.4,-0.015894199,,
1.42,-0.015874565,,
1.44,-0.015893432,,
1.46,-0.015856924,,
1.48,-0.015879013,,
1.5,-0.015859379,,
1.52,-0.015839897,,
1.54,-0.015836983,,
1.56,-0.015828853,,
1.58,-0.01582962,,
1.6,-0.015831154,,
1.62,-0.01584634,,
1.64,-0.015841278,,
1.66,-0.015860759,,
1.68,-0.015860146,,
1.7,-0.015882695,,
1.72,-0.015890518,,
1.74,-0.015865208,,
1.76,-0.015864134,,
1.78,-0.015897727,,
1.8,-0.015870423,,
1.82,-0.015852936,,
1.84,-0.015871957,,
1.86,-0.015846033,,
1.88,-0.015859225,,
1.9,-0.015870576,,
1.92,-0.015834529,,
1.94,-0.015832381,,
1.96,-0.015849868,,
1.98,-0.015853703,,
2,-0.015849408,,
2.02,-0.0158287,,
2.04,-0.015839437,,
2.06,-0.015857538,,
2.08,-0.015879627,,
2.1,-0.015855237,,
2.12,-0.015884689,,
2.14,-0.015883462,,
2.16,-0.015877633,,
2.18,-0.015889444,,
2.2,-0.01588791,,
2.22,-0.015884689,,
2.24,-0.015868276,,
2.26,-0.015844959,,
2.28,-0.015839897,,
2.3,-0.015853856,,
2.32,-0.015807224,,
2.34,-0.015829006,,
2.36,-0.015819189,,
2.38,-0.015852629,,
2.4,-0.015837443,,
2.42,-0.015847107,,
2.44,-0.015876099,,
2.46,-0.015875178,,
2.48,-0.015900642,,
2.5,-0.015883768,,
2.52,-0.015888677,,
2.54,-0.015868736,,
2.56,-0.015887143,,
2.58,-0.015868122,,
2.6,-0.01587165,,
2.62,-0.015852476,,
2.64,-0.015833301,,
2.66,-0.015825785,,
2.68,-0.015842505,,
2.7,-0.015843732,,
2.72,-0.015846647,,
2.74,-0.015842045,,
2.76,-0.015807224,,
2.78,-0.015860452,,
2.8,-0.015881928,,
2.82,-0.015872417,,
2.84,-0.015850635,,
2.86,-0.01586214,,
2.88,-0.015907238,,
2.9,-0.015879013,,
2.92,-0.015880854,,
2.94,-0.0158784,,
2.96,-0.015868736,,
2.98,-0.015888984,,
3,-0.015871497,,
3.02,-0.0158287,,
3.04,-0.0158468,,
3.06,-0.015818115,,
3.08,-0.015836983,,
3.1,-0.015842659,,
3.12,-0.01582195,,
3.14,-0.015831001,,
3.16,-0.015837903,,
3.18,-0.01587119,,
3.2,-0.015875485,,
3.22,-0.015898648,,
3.24,-0.015884689,,
3.26,-0.015871343,,
3.28,-0.015906318,,
3.3,-0.015903403,,
3.32,-0.015882081,,
3.34,-0.015850635,,
3.36,-0.015850175,,
3.38,-0.015849561,,
3.4,-0.015834375,,
3.42,-0.015830847,,
3.44,-0.015808451,,
3.46,-0.015828239,,
3.48,-0.015833608,,
3.5,-0.01586168,,
3.52,-0.015848641,,
3.54,-0.015842505,,
3.56,-0.015872264,,
3.58,-0.015888064,,
3.6,-0.015885456,,
3.62,-0.015885456,,
3.64,-0.015884229,,
3.66,-0.015878093,,
3.68,-0.015877479,,
3.7,-0.015875945,,
3.72,-0.015858612,,
3.74,-0.015860913,,
3.76,-0.015834222,,
3.78,-0.01584634,,
3.8,-0.01584634,,
3.82,-0.015843426,,
3.84,-0.015825785,,
3.86,-0.015813667,,
3.88,-0.015856464,,
3.9,-0.015854623,,
3.92,-0.015863213,,
3.94,-0.015857998,,
3.96,-0.015866128,,
3.98,-0.015883001,,
4,-0.01586398,,
4.02,-0.01589558,,
4.04,-0.015887143,,
4.06,-0.01587119,,
4.08,-0.015883155,,
4.1,-0.015850788,,
4.12,-0.015848641,,
4.14,-0.015857078,,
4.16,-0.015851555,,
4.18,-0.015829773,,
4.2,-0.015818882,,
4.22,-0.01584542,,
4.24,-0.015843886,,
4.26,-0.015856157,,
4.28,-0.015850788,,
4.3,-0.015862447,,
4.32,-0.015888064,,
4.34,-0.015866128,,
4.36,-0.015893893,,
4.38,-0.015874565,,
4.4,-0.015880087,,
4.42,-0.015868736,,
4.44,-0.01586306,,
4.46,-0.015846493,,
4.48,-0.015844653,,
4.5,-0.015841431,,
4.52,-0.015844653,,
4.54,-0.015817655,,
4.56,-0.015858305,,
4.58,-0.015847567,,
4.6,-0.015854777,,
4.62,-0.015865208,,
4.64,-0.015858151,,
4.66,-0.015878553,,
4.68,-0.015875332,,
4.7,-0.015871037,,
4.72,-0.015880394,,
4.74,-0.015868582,,
4.76,-0.015866435,,
4.78,-0.015875792,,
4.8,-0.015838517,,
4.82,-0.015878246,,
4.84,-0.01583867,,
4.86,-0.015848641,,
4.88,-0.015846954,,
4.9,-0.0158468,,
4.92,-0.015830234,,
4.94,-0.015835756,,
4.96,-0.015850788,,
4.98,-0.015849561,,
5,-0.015865668,,
5.02,-0.015876405,,
5.04,-0.015863367,,
5.06,-0.015871957,,
5.08,-0.015879473,,
5.1,-0.015890058,,
5.12,-0.015899568,,
5.14,-0.015861373,,
5.16,-0.015868429,,
5.18,-0.015864134,,
5.2,-0.015826859,,
5.22,-0.015859072,,
5.24,-0.015848794,,
5.26,-0.015802316,,
5.28,-0.015830847,,
5.3,-0.015807838,,
5.32,-0.015867662,,
5.34,-0.015830387,,
5.36,-0.015858612,,
5.38,-0.015879627,,
5.4,-0.015890518,,
5.42,-0.01590417,,
5.44,-0.015880701,,
5.46,-0.015906318,,
5.48,-0.015887603,,
5.5,-0.015901409,,
5.52,-0.015874411,,
5.54,-0.015836676,,
5.56,-0.015816428,,
5.58,-0.015869503,,
5.6,-0.015815661,,
5.62,-0.01579572,,
5.64,-0.015833148,,
5.66,-0.015845726,,
5.68,-0.015815047,,
5.7,-0.015830694,,
5.72,-0.01588745,,
5.74,-0.015868736,,
5.76,-0.015881161,,
5.78,-0.015885609,,
5.8,-0.015896193,,
5.82,-0.015903556,,
5.84,-0.015893126,,
5.86,-0.015892665,,
5.88,-0.015875639,,
5.9,-0.015860146,,
5.92,-0.015854163,,
5.94,-0.015834835,,
5.96,-0.015831767,,
5.98,-0.01583008,,
6,-0.015832534,,
6.02,-0.015813207,,
6.04,-0.015814587,,
6.06,-0.01583867,,
6.08,-0.01586398,,
6.1,-0.015853856,,
6.12,-0.015858305,,
6.14,-0.015889444,,
6.16,-0.015882695,,
6.18,-0.015902789,,
6.2,-0.015903403,,
6.22,-0.01591322,,
6.24,-0.015867048,,
6.26,-0.015877326,,
6.28,-0.015869043,,
6.3,-0.015830694,,
6.32,-0.015850175,,
6.34,-0.015837136,,
6.36,-0.015808605,,
6.38,-0.015811826,,
6.4,-0.015826245,,
6.42,-0.015836063,,
6.44,-0.015847414,,
6.46,-0.01586352,,
6.48,-0.015865668,,
6.5,-0.015876712,,
6.52,-0.015880854,,
6.54,-0.015875792,,
6.56,-0.015902943,,
6.58,-0.015902022,,
6.6,-0.015881774,,
6.62,-0.015858612,,
6.64,-0.015858765,,
6.66,-0.015861833,,
