Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0,0.022841452,0.023514221,9.62E-05
0.02,0.022903008,0.023512672,0.000109072
0.04,0.022968555,0.023506321,-5.98E-05
0.06,0.022969169,0.023525375,8.05E-05
0.08,0.022969936,0.023539317,0.000107077
0.1,0.022979607,0.023545049,2.30E-06
0.12,0.022973007,0.023488041,-1.83E-05
0.14,0.022932788,0.023501519,6.01E-05
0.16,0.022951516,0.023489745,0.00015448
0.18,0.022839917,0.023481845,-1.53E-05
0.2,0.022842988,0.023496716,-1.33E-05
0.22,0.022881824,0.023485098,0.000115208
0.24,0.0228304,0.023501828,0.000109378
0.26,0.022841606,0.023433202,-2.06E-05
0.28,0.022877833,0.023434287,3.34E-05
0.3,0.022831935,0.023475338,0.000110145
0.32,0.022915596,0.023453961,3.68E-05
0.34,0.022879061,0.023489435,4.53E-05
0.36,0.022915289,0.023505236,2.19E-05
0.38,0.022980682,0.02349842,0.000100481
0.4,0.022888886,0.023493928,2.19E-05
0.42,0.022891495,0.023495632,1.69E-06
0.44,0.022890114,0.023526924,9.25E-05
0.46,0.022918666,0.023539007,0.000103396
0.48,0.022900399,0.023518094,-3.08E-05
0.5,0.022949827,0.0235435,2.04E-05
0.52,0.022889039,0.023539782,0.000119196
0.54,0.022880443,0.023508335,2.21E-05
0.56,0.022932481,0.023478437,4.97E-05
0.58,0.022933402,0.023490055,4.39E-05
0.6,0.022938161,0.023485872,6.47E-05
0.62,0.022893184,0.023462481,1.83E-05
0.64,0.022865092,0.023499505,4.36E-05
0.66,0.022876298,0.023449313,9.48E-05
0.68,0.02284836,0.023453031,5.60E-05
0.7,0.022828865,0.023460312,-1.17E-05
0.72,0.022888118,0.023461396,6.54E-05
0.74,0.022822725,0.023502913,0.000139293
0.76,0.022847132,0.023497026,2.68E-05
0.78,0.022897942,0.023486337,-1.61E-05
0.8,0.022941845,0.023500899,7.53E-05
0.82,0.022956428,0.023519798,6.07E-05
0.84,0.022945376,0.02350725,2.39E-05
0.86,0.022957656,0.023528318,5.35E-05
0.88,0.023005703,0.023513137,4.91E-05
0.9,0.022971472,0.023521657,5.38E-05
0.92,0.022901934,0.023500744,5.98E-06
0.94,0.022906078,0.023510039,5.26E-05
0.96,0.022858645,0.023502913,8.61E-05
0.98,0.022857724,0.023488351,5.05E-05
1,0.022815357,0.023503377,3.99E-06
1.02,0.022802002,0.023483394,8.36E-05
1.04,0.022825334,0.02349904,9.37E-05
1.06,0.02286893,0.023466663,-1.06E-05
1.08,0.022879829,0.023474254,8.87E-05
1.1,0.02289303,0.023464185,5.00E-05
1.12,0.022919433,0.023449778,1.75E-05
1.14,0.022943227,0.023481845,6.11E-05
1.16,0.022966559,0.023483549,6.18E-05
1.18,0.02295259,0.023487112,4.68E-05
1.2,0.022927262,0.023514221,3.84E-06
1.22,0.022938621,0.023504462,7.65E-05
1.24,0.022879215,0.02349052,6.86E-05
1.26,0.022895486,0.023512827,2.29E-05
1.28,0.022876912,0.023506786,6.60E-05
1.3,0.022882592,0.023536684,3.01E-05
1.32,0.022870618,0.023537923,7.13E-05
1.34,0.02288382,0.023521967,6.30E-05
1.36,0.02290178,0.023510194,-2.56E-05
1.38,0.022938621,0.023482,0.00012073
1.4,0.022887044,0.023480451,2.82E-05
1.42,0.022883052,0.023473325,4.28E-05
1.44,0.022899938,0.023487576,5.29E-05
1.46,0.02287154,0.023501983,5.75E-05
1.48,0.02292542,0.023484014,4.94E-05
1.5,0.022854347,0.023447299,4.26E-05
1.52,0.022856803,0.023474409,4.07E-05
1.54,0.022840224,0.023482309,6.54E-05
1.56,0.022868009,0.023482464,5.89E-05
1.58,0.022915903,0.023495632,4.02E-05
1.6,0.022969783,0.023493928,5.51E-05
1.62,0.022910683,0.023510194,4.17E-05
1.64,0.022908688,0.023507095,3.18E-05
1.66,0.022960726,0.023489745,4.80E-05
1.68,0.022977151,0.023492843,7.98E-05
1.7,0.022941692,0.023508335,-1.66E-05
1.72,0.022888272,0.02351639,8.82E-05
1.74,0.022842527,0.023555428,3.42E-05
1.76,0.022875377,0.023499505,8.24E-05
1.78,0.02287814,0.023477972,-5.68E-06
1.8,0.022790642,0.023512207,8.48E-05
1.82,0.02284483,0.023486802,6.98E-05
1.84,0.02282426,0.02351608,2.61E-05
1.86,0.022902855,0.023486802,5.12E-05
1.88,0.022921429,0.023459383,5.80E-05
1.9,0.0229136,0.023482929,5.84E-05
1.92,0.022930793,0.023465734,3.25E-05
1.94,0.022953818,0.023462016,2.73E-05
1.96,0.022958731,0.023469762,9.34E-05
1.98,0.02296134,0.023477662,3.96E-05
2,0.022921736,0.023516235,8.13E-06
2.02,0.022903469,0.023492689,5.52E-05
2.04,0.02286279,0.023502293,5.25E-05
2.06,0.022865399,0.023494548,9.00E-05
2.08,0.022839917,0.023487886,-1.84E-06
2.1,0.022841913,0.023534825,9.94E-05
2.12,0.022897942,0.023528008,3.47E-05
2.14,0.022845444,0.023523826,7.29E-05
2.16,0.022903776,0.023503377,-3.24E-05
2.18,0.022921429,0.023506631,9.11E-05
2.2,0.02289303,0.02348959,9.79E-05
2.22,0.022906232,0.023479211,6.90E-06
2.24,0.022939542,0.023505701,3.47E-05
2.26,0.022900399,0.023495477,5.48E-05
2.28,0.022920815,0.023489435,7.62E-05
2.3,0.02288121,0.023466354,-1.61E-05
2.32,0.022847132,0.023485253,0.00014098
2.34,0.022897328,0.023483394,2.15E-06
2.36,0.022906232,0.023460157,7.41E-05
2.38,0.022911911,0.023488971,-3.07E-07
2.4,0.022932788,0.023501519,7.10E-05
2.42,0.022899324,0.023496561,7.79E-05
2.44,0.022872768,0.023497336,2.35E-05
2.46,0.022991734,0.023480296,4.34E-05
2.48,0.022869851,0.023500899,5.68E-05
2.5,0.022915749,0.02349873,6.07E-05
2.52,0.022871233,0.023501054,2.30E-06
2.54,0.022822418,0.023514221,0.000143128
2.56,0.022893491,0.02352553,-1.17E-05
2.58,0.022880289,0.023485408,5.98E-06
2.6,0.022795554,0.023517939,0.000100327
2.62,0.022869697,0.023492843,0.000107998
2.64,0.022876605,0.023488816,-2.76E-06
2.66,0.022863404,0.023485408,2.22E-05
2.68,0.02298191,0.023475184,4.82E-05
2.7,0.022970704,0.023515616,0.000131469
2.72,0.022982524,0.02345489,-2.32E-05
2.74,0.02292235,0.023486647,2.59E-05
2.76,0.02295213,0.023477817,8.19E-05
2.78,0.022926955,0.02347224,2.19E-05
2.8,0.022937086,0.023488196,7.01E-05
2.82,0.022847746,0.023513911,5.06E-05
2.84,0.022817813,0.023527234,8.04E-05
2.86,0.02284836,0.023507405,1.41E-05
2.88,0.022830707,0.023466818,1.23E-05
2.9,0.02281858,0.023511278,0.000111066
2.92,0.022837615,0.023504772,0.000100634
2.94,0.022862943,0.023521812,-2.53E-05
2.96,0.022917284,0.023512672,4.96E-05
2.98,0.022950595,0.023483549,1.61E-05
3,0.022953972,0.023514841,0.000107231
3.02,0.022943073,0.023474719,3.37E-05
3.04,0.022885969,0.023522122,0.000107998
