Time (s),
0.01,3.96636E-05
0.02,3.09781E-05
0.03,2.01696E-05
0.04,6.65885E-06
0.05,-1.33177E-05
0.06,2.49948E-05
0.07,6.60095E-05
0.08,3.96636E-05
0.09,1.23527E-05
0.1,5.11477E-06
0.11,-1.8336E-06
0.12,2.63459E-05
0.13,4.87351E-05
0.14,2.19067E-05
0.15,1.76604E-05
0.16,2.48018E-05
0.17,1.44758E-06
0.18,1.63094E-05
0.19,5.17267E-05
0.2,2.95306E-05
0.21,8.39594E-06
0.22,1.95905E-05
0.23,1.78534E-05
0.24,1.50548E-05
0.25,1.55373E-05
0.26,1.53443E-05
0.27,3.44523E-05
0.28,5.11477E-05
0.29,3.33908E-05
0.3,1.95905E-05
0.31,-5.21127E-06
0.32,-2.8855E-05
0.33,1.36072E-05
0.34,6.28248E-05
0.35,6.20528E-05
0.36,5.11477E-05
0.37,1.07121E-05
0.38,-4.14007E-05
0.39,-2.60564E-05
0.4,6.28248E-05
0.41,8.49245E-05
0.42,3.77335E-05
0.43,1.27387E-05
0.44,-2.65389E-05
0.45,-3.95671E-05
0.46,2.40298E-05
0.47,7.02557E-05
0.48,7.65285E-05
0.49,6.57199E-05
0.5,2.34507E-05
0.51,-5.10512E-05
0.52,-5.68415E-05
0.53,1.31247E-05
0.54,4.97001E-05
0.55,8.51175E-05
0.56,0.000104322
0.57,6.36933E-06
0.58,-8.01957E-05
0.59,-3.46453E-05
0.6,2.81795E-05
0.61,7.37299E-05
0.62,0.000104612
0.63,4.95071E-05
0.64,-3.11711E-05
0.65,-4.64189E-05
0.66,-1.0326E-05
0.67,4.41993E-05
0.68,8.98462E-05
0.69,6.37898E-05
0.7,-2.17136E-05
0.71,-3.50313E-05
0.72,2.7697E-05
0.73,3.66719E-05
0.74,4.97966E-05
0.75,6.40794E-05
0.76,6.85186E-06
0.77,-2.29682E-05
0.78,-1.70814E-05
0.79,1.06156E-05
0.8,8.32839E-05
0.81,8.32839E-05
0.82,-2.02661E-06
0.83,-3.49348E-05
0.84,1.55373E-05
0.85,3.69614E-05
0.86,1.09051E-05
0.87,1.68884E-05
0.88,6.24388E-05
0.89,6.5913E-05
0.9,-1.15806E-05
0.91,-5.29813E-05
0.92,2.47053E-05
0.93,7.73971E-05
0.94,2.48018E-05
0.95,8.39594E-06
0.96,5.07617E-05
0.97,3.37768E-05
